text,category,severity
"My VPN keeps disconnecting when I try to join meetings.","VPN / Connectivity","High"
"I cannot access the company's shared folder. Permission denied.","Access / Permission","Medium"
"Outlook is not receiving new emails since last night.","Email Issue","High"
"My laptop is overheating and shutting down.","Hardware Problem","Medium"
"The Wi-Fi connection is unstable on the 3rd floor.","Network Issue","Medium"
"Excel freezes every time I open a file.","Office/Excel Issue","Low"
"The internal web portal returns a 500 error.","Software Bug","Medium"
"Please grant me access to the finance folder.","Access / Permission","Low"
"My mouse suddenly stopped working today.","Hardware Problem","Low"
"I cannot connect to the VPN when traveling.","VPN / Connectivity","High"
"Slack notifications are delayed.","Software Bug","Low"
"The printer on floor 2 is jammed again.","Hardware Problem","Low"
"Wi-Fi shows connected but no internet.","Network Issue","High"
"Please reset my password.","Access / Permission","Low"
"Chrome crashes when opening certain pages.","Software Bug","Low"
"Emails are taking too long to send.","Email Issue","Medium"
"My monitor flickers randomly.","Hardware Problem","Medium"
"VPN login fails with authentication error.","VPN / Connectivity","High"
"The network switch in server room is down.","Network Issue","High"
"Excel formulas are not recalculating properly.","Office/Excel Issue","Medium"
"The VPN drops every few minutes when I upload large files.","VPN / Connectivity","High"
"I need edit access to the HR policies folder.","Access / Permission","Medium"
"Some emails are showing up blank in Outlook.","Email Issue","Medium"
"My keyboard keeps repeating letters when typing.","Hardware Problem","Low"
"The office network becomes slow every afternoon.","Network Issue","Medium"
"Excel opens extremely slowly since yesterday.","Office/Excel Issue","Medium"
"Our internal dashboard shows a JavaScript error.","Software Bug","Low"
"Please remove my access to the marketing shared drive.","Access / Permission","Low"
"My laptop battery drains from 80% to 20% in minutes.","Hardware Problem","High"
"The VPN requires reconnecting every time I change networks.","VPN / Connectivity","Medium"
"Emails from clients are delayed by several hours.","Email Issue","High"
"The trackpad on my laptop is unresponsive at random times.","Hardware Problem","Medium"
"We cannot access the internal CRM — keeps timing out.","Network Issue","High"
"Excel pivot table crashes when refreshing the data.","Office/Excel Issue","Medium"
"The internal reporting tool displays incorrect totals.","Software Bug","High"
"Please extend my access to the dev environment.","Access / Permission","Medium"
"My docking station is not detecting my monitor.","Hardware Problem","Low"
"VPN error: 'Secure connection failed'.","VPN / Connectivity","High"
"Shared drive keeps disconnecting unexpectedly.","Network Issue","Medium"
"Outlook search is missing many results.","Email Issue","Low"
"The printer won't connect over the network.","Network Issue","Low"
"Excel auto-save isn't working.","Office/Excel Issue","Low"
"The mobile app crashes after login.","Software Bug","Medium"
"I need temporary access to the vendor portal.","Access / Permission","Low"
"My headset disconnects frequently during calls.","Hardware Problem","Low"
"VPN pushes extremely slow download speeds.","VPN / Connectivity","Medium"
"Outlook calendar invites aren't syncing.","Email Issue","Medium"
"Wi-Fi authentication fails on guest network.","Network Issue","High"
"Excel charts disappear when reopening the file.","Office/Excel Issue","Medium"
"Bug: Login page loops infinitely.","Software Bug","High"
"Please grant SFTP access to my account.","Access / Permission","Medium"
"My laptop fan is running at maximum all the time.","Hardware Problem","Low"
"VPN login takes over 2 minutes to authenticate.","VPN / Connectivity","Low"
"Emails are being sent twice automatically.","Email Issue","Medium"
"Network drops for a few seconds multiple times per hour.","Network Issue","Medium"
"Excel freezes when exporting to PDF.","Office/Excel Issue","Low"
"Tool displays a JSON parsing error on startup.","Software Bug","Low"
"I need write permissions for the analytics team folder.","Access / Permission","Medium"
"The laptop screen occasionally shows colored lines.","Hardware Problem","High"
"VPN shows 'connection established' but no data transfers.","VPN / Connectivity","High"
"Email attachments fail to download.","Email Issue","Medium"
"The router in meeting room A keeps restarting.","Network Issue","High"
"Excel conditional formatting is not applying correctly.","Office/Excel Issue","Low"
"Internal API returns a 404 for valid requests.","Software Bug","High"
"Please disable my access to the QA environment.","Access / Permission","Low"
"My keyboard backlight flickers randomly.","Hardware Problem","Low"
"Unable to maintain VPN for longer than 10 minutes.","VPN / Connectivity","High"
"Received duplicate emails from multiple senders.","Email Issue","Low"
"Wi-Fi drops only when switching between floors.","Network Issue","Medium"
"Excel file corrupted after copying to network drive.","Office/Excel Issue","Medium"
"App displays outdated data despite refresh.","Software Bug","Medium"
"I need admin access to modify distribution lists.","Access / Permission","High"
"The laptop microphone picks up static noise.","Hardware Problem","Low"
"VPN fails during multi-factor authentication step.","VPN / Connectivity","High"
"Outlook signatures disappear after restart.","Email Issue","Low"
"Network cable in my cubicle seems faulty.","Network Issue","Low"
"Excel shows #REF errors after updating the sheet.","Office/Excel Issue","Low"
"The system throws an exception when uploading images.","Software Bug","Medium"
"Please upgrade my access from read-only to contributor.","Access / Permission","Medium"
"My external hard drive is not detected.","Hardware Problem","Medium"
"VPN shows 'tunnel not found' error.","VPN / Connectivity","High"
"Some emails are automatically going to junk.","Email Issue","Medium"
"Wi-Fi disconnects when multiple devices are connected.","Network Issue","High"
"Excel crashes when editing shared workbook.","Office/Excel Issue","High"
"The internal web tool logs me out randomly.","Software Bug","Low"
"Need to revoke access for a former employee.","Access / Permission","Low"
"My laptop freezes when waking from sleep.","Hardware Problem","Medium"
"VPN gives certificate validation error.","VPN / Connectivity","High"
"Emails not syncing on mobile device.","Email Issue","Low"
"The switch in the storage room is overheating.","Network Issue","High"
"Excel cannot open large CSV files.","Office/Excel Issue","Low"
"App backend triggers memory overflow error.","Software Bug","High"
"I require access to the secure finance server.","Access / Permission","High"
"My mouse pointer moves erratically.","Hardware Problem","Medium"
"VPN keeps asking for password repeatedly.","VPN / Connectivity","Medium"
"Missing emails from a specific domain.","Email Issue","Low"
"Intermittent LAN connection drops in my office.","Network Issue","Medium"
"Excel's data validation rules are not working.","Office/Excel Issue","Low"
"Form submission returns an unexpected server error.","Software Bug","Medium"
"Requesting read-only access to project archive.","Access / Permission","Low"
"USB ports on my laptop fail intermittently.","Hardware Problem","Medium"
"VPN disconnects when switching Wi-Fi networks.","VPN / Connectivity","High"
"Outlook freezes when downloading attachments.","Email Issue","Medium"
"The main office router is unreachable.","Network Issue","High"
"Excel cell formatting resets randomly.","Office/Excel Issue","Low"
"The scheduling app double-books meetings.","Software Bug","Medium"
"Need access to the partner shared folder.","Access / Permission","Medium"
"Laptop speakers produce crackling sounds.","Hardware Problem","Low"
"VPN stalls during initial connection handshake.","VPN / Connectivity","Medium"
"Email drafts disappear after editing.","Email Issue","Low"
"Network printer cannot be discovered.","Network Issue","Medium"
"Excel SUM function gives incorrect results.","Office/Excel Issue","Low"
"App throws 'undefined variable' on dashboard load.","Software Bug","Low"
"Please grant reporting privileges to my account.","Access / Permission","Medium"
"Laptop touch screen does not respond occasionally.","Hardware Problem","High"
"VPN fails with timeout during reconnection.","VPN / Connectivity","High"
"Email filters are not applying correctly.","Email Issue","Medium"
"Network is unreachable during peak hours.","Network Issue","High"
"Excel data connections fail to refresh.","Office/Excel Issue","Medium"
"My laptop is making a loud fan noise during normal tasks.","Hardware Problem","Low"
"Unable to connect to the company VPN after password reset.","VPN / Connectivity","Medium"
"Email attachments are failing to upload.","Email Issue","Medium"
"Access to the HR portal is denied—says insufficient permissions.","Access / Permission","High"
"Wi-Fi keeps switching between 2.4 GHz and 5 GHz and drops packets.","Network Issue","Medium"
"Excel crashes when I try to run a macro.","Office/Excel Issue","High"
"Application throws a 404 error on login page.","Software Bug","High"
"My keyboard randomly stops responding.","Hardware Problem","Low"
"VPN client stuck at 'Negotiating Security'.","VPN / Connectivity","High"
"Cannot move files inside my department folder—permission denied.","Access / Permission","Medium"
"Emails are sending extremely slowly this morning.","Email Issue","Medium"
"Wireless signal on floor 4 is very weak.","Network Issue","Low"
"Excel pivot table is not refreshing correctly.","Office/Excel Issue","Medium"
"The finance system dashboard fails to load fully.","Software Bug","Medium"
"My USB headset is detected but no sound plays.","Hardware Problem","Medium"
"Remote desktop session disconnects every 3–5 minutes.","VPN / Connectivity","High"
"Need edit access to the marketing campaign drive.","Access / Permission","Low"
"Email rules stopped working unexpectedly.","Email Issue","Low"
"Several devices can't reach the internal DNS server.","Network Issue","High"
"Excel sheet keeps showing #REF! errors.","Office/Excel Issue","Low"
"Software update installer gets stuck at 99%.","Software Bug","Medium"
"Mouse movements lag randomly throughout the day.","Hardware Problem","Low"
"VPN user authentication fails after multiple attempts.","VPN / Connectivity","Medium"
"I need temporary access to the procurement system.","Access / Permission","Low"
"My sent emails are appearing twice in the Sent folder.","Email Issue","Low"
"Networked devices cannot reach shared drives intermittently.","Network Issue","Medium"
"Excel freezes whenever I attempt conditional formatting.","Office/Excel Issue","Medium"
"The CRM search function stops returning results.","Software Bug","High"
"Monitor randomly turns off even though PC stays on.","Hardware Problem","Medium"
"VPN tunnel drops when switching Wi-Fi networks.","VPN / Connectivity","Medium"
"I can't upload files to the project storage drive.","Access / Permission","Medium"
"Email client keeps prompting for password.","Email Issue","Medium"
"Network latency spikes over 1000ms during peak hours.","Network Issue","High"
"Excel add-in is missing after system reboot.","Office/Excel Issue","Low"
"Application shows unexpected behavior after last update.","Software Bug","Low"
"The trackpad is insensitive and freezes sometimes.","Hardware Problem","Low"
"My VPN fails to initiate when connected via hotspot.","VPN / Connectivity","High"
"Requesting access to shared event planning folder.","Access / Permission","Low"
"Some emails are disappearing from the inbox.","Email Issue","High"
"Ethernet cable connection randomly toggles on/off.","Network Issue","Medium"
"Excel VLOOKUP returns incorrect values.","Office/Excel Issue","Medium"
"Bug: Form validation does not detect empty fields.","Software Bug","Low"
"My webcam keeps disconnecting during meetings.","Hardware Problem","Medium"
"VPN disconnects whenever I start screen sharing.","VPN / Connectivity","High"
"Cannot access vendor management portal—need permissions.","Access / Permission","Medium"
"Email drafts auto-save inconsistently.","Email Issue","Low"
"Office network drops for 10 minutes every afternoon.","Network Issue","High"
"Charts in Excel aren't rendering properly.","Office/Excel Issue","Low"
"New version of internal tool fails to load sections.","Software Bug","Medium"
"Headset microphone volume extremely low.","Hardware Problem","Low"
"VPN login works but connection fails immediately.","VPN / Connectivity","Medium"
"I require admin access to troubleshoot a system.","Access / Permission","High"
"Email client stuck at 'Updating mailbox'.","Email Issue","High"
"Network drives disconnect after system wakes from sleep.","Network Issue","Medium"
"Excel data connections cannot be refreshed.","Office/Excel Issue","Medium"
"Calendar events keep duplicating in the system.","Software Bug","Low"
"Bluetooth mouse randomly disconnects.","Hardware Problem","Low"
"VPN profile corrupted after update—cannot connect.","VPN / Connectivity","High"
"Need read access to archived finance documents.","Access / Permission","Low"
"Email forwarding rules stop functioning.","Email Issue","Medium"
"Wi-Fi strength fluctuates significantly in conference room.","Network Issue","Low"
"Excel formulas referencing external sheets not updating.","Office/Excel Issue","Medium"
"Mobile app version of internal system crashes on login.","Software Bug","High"
"My laptop battery drains unusually fast.","Hardware Problem","Low"
"VPN connection idle timeout too aggressive.","VPN / Connectivity","Medium"
"Cannot open compliance audit folder.","Access / Permission","Medium"
"Outlook calendar not syncing with mobile.","Email Issue","Low"
"Network congestion affecting VOIP calls.","Network Issue","High"
"Excel cannot open CSV files from Teams.","Office/Excel Issue","Low"
"Application fails to generate PDF reports.","Software Bug","Medium"
"My second monitor is not detected.","Hardware Problem","Medium"
"VPN works on Ethernet but fails on Wi-Fi.","VPN / Connectivity","Medium"
"Need permission to update project documents.","Access / Permission","Low"
"Spam filter incorrectly marking internal emails as spam.","Email Issue","Medium"
"There is a major outage in building A network.","Network Issue","High"
"Excel cell formatting resets automatically.","Office/Excel Issue","Low"
"Critical bug: Data export missing fields.","Software Bug","High"
"My speakers emit static noise.","Hardware Problem","Low"
"VPN reconnects every few minutes after upgrade.","VPN / Connectivity","High"
"I need admin rights to install required software.","Access / Permission","High"
"Some emails show as blank when opened.","Email Issue","High"
"Network bandwidth extremely limited on Wi-Fi.","Network Issue","Medium"
"Excel links to SharePoint not refreshing.","Office/Excel Issue","Medium"
"Internal tool crashes when switching tabs.","Software Bug","Medium"
"My keyboard types double characters occasionally.","Hardware Problem","Low"
"VPN client stuck on 'Connecting to gateway'.","VPN / Connectivity","High"
"Unable to access shared legal documents.","Access / Permission","Medium"
"Email search returns incomplete results.","Email Issue","Low"
"Wireless network unreachable for some devices.","Network Issue","High"
"Excel sorting not functioning as expected.","Office/Excel Issue","Medium"
"Internal analytics dashboard fails to load charts.","Software Bug","High"
"Laptop randomly restarts.","Hardware Problem","Medium"
"VPN latency extremely high during peak hours.","VPN / Connectivity","High"
"Requesting permission to edit internal knowledge base.","Access / Permission","Medium"
"Emails are bouncing back from external recipients.","Email Issue","High"
"Network outage in the east wing—no devices connected.","Network Issue","High"
"Excel file becomes corrupted when saving.","Office/Excel Issue","Medium"
"Mobile version of CRM fails to sync data.","Software Bug","Medium"
"My external monitor flickers when using HDMI.","Hardware Problem","Low"
"VPN disconnects after switching from LAN to Wi-Fi.","VPN / Connectivity","Medium"
"Need access to archived HR folders.","Access / Permission","Low"
"Email signatures are not updating company-wide.","Email Issue","Low"
"Wi-Fi authentication issues for new employees.","Network Issue","Medium"
"Excel conditional formatting rules randomly vanish.","Office/Excel Issue","Low"
"Analytics tool exports empty CSV files.","Software Bug","High"
"Mouse scroll wheel works intermittently.","Hardware Problem","Low"
"VPN fails when connecting from hotel networks.","VPN / Connectivity","High"
"Please grant write permissions to departmental reports.","Access / Permission","Medium"
"Email notifications don't appear on mobile.","Email Issue","Low"
"Network switch intermittently loses power.","Network Issue","High"
"Excel fails to load power query sources.","Office/Excel Issue","Medium"
"Internal portal returns 403 for authenticated users.","Software Bug","High"
"My laptop keeps freezing when opening multiple apps.","Hardware Problem","Medium"
"VPN MAC address mismatch error.","VPN / Connectivity","Medium"
"Need temporary access for audit preparation.","Access / Permission","Medium"
"Email attachments over 10MB fail to send.","Email Issue","Medium"
"Wi-Fi devices kicked off during large meetings.","Network Issue","High"
"Excel drops table formatting when sorting.","Office/Excel Issue","Low"
"Key application not saving user preferences.","Software Bug","Low"
"The mouse pointer drifts on its own.","Hardware Problem","Low"
"VPN SSO token expired unexpectedly.","VPN / Connectivity","High"
